nodes time label
3 4.590 et1000
3 3.383 et1000
3 3.618 et1000
3 3.557 et1000
3 3.306 et1000
3 3.372 et1000
3 3.331 et1000
5 5.102 et1000
5 5.143 et1000
5 5.226 et1000
5 5.126 et1000
5 5.666 et1000
5 5.573 et1000
5 5.207 et1000
7 7.660 et1000
7 7.508 et1000
7 7.400 et1000
7 7.757 et1000
7 7.711 et1000
7 7.881 et1000
7 7.842 et1000
9 11.034 et1000
9 11.620 et1000
9 10.776 et1000
9 10.940 et1000
9 11.608 et1000
9 11.328 et1000
9 11.127 et1000
11 15.471 et1000
11 15.272 et1000
11 15.806 et1000
11 14.905 et1000
11 15.433 et1000
11 14.709 et1000
11 15.380 et1000
13 19.728 et1000
13 20.142 et1000
13 20.260 et1000
13 20.984 et1000
13 20.027 et1000
13 20.413 et1000
13 20.063 et1000
15 26.774 et1000
15 26.435 et1000
15 27.264 et1000
15 27.171 et1000
15 26.386 et1000
15 26.555 et1000
15 26.486 et1000
17 35.227 et1000
17 34.485 et1000
17 34.660 et1000
17 35.887 et1000
17 38.696 et1000
17 36.573 et1000
17 36.408 et1000
19 43.652 et1000
19 46.816 et1000
19 44.577 et1000
19 43.804 et1000
19 43.869 et1000
19 44.759 et1000
19 43.313 et1000
21 54.415 et1000
21 54.832 et1000
21 55.663 et1000
21 54.767 et1000
21 57.385 et1000
21 57.666 et1000
21 54.974 et1000
