node time label
3 2.864 et500
3 2.808 et500
3 2.761 et500
3 2.749 et500
3 2.776 et500
3 2.903 et500
3 2.758 et500
5 4.090 et500
5 4.861 et500
5 6.119 et500
5 4.800 et500
5 4.729 et500
5 4.381 et500
5 4.855 et500
7 8.573 et500
7 6.564 et500
7 8.097 et500
7 6.336 et500
7 7.452 et500
7 6.843 et500
7 7.725 et500
9 11.041 et500
9 10.746 et500
9 13.121 et500
9 11.818 et500
9 10.908 et500
9 14.617 et500
9 10.411 et500
11 17.300 et500
11 16.014 et500
11 15.537 et500
11 16.049 et500
11 15.218 et500
11 14.256 et500
11 16.500 et500
13 19.956 et500
13 21.381 et500
13 24.110 et500
13 19.030 et500
13 19.957 et500
13 21.133 et500
13 21.334 et500
15 26.476 et500
15 27.015 et500
15 27.481 et500
15 26.551 et500
15 27.357 et500
15 28.198 et500
15 27.887 et500
17 33.627 et500
17 33.262 et500
17 35.175 et500
17 34.329 et500
17 34.634 et500
17 33.139 et500
17 36.135 et500
19 44.124 et500
19 43.569 et500
19 44.331 et500
19 44.285 et500
19 44.729 et500
19 49.625 et500
19 45.829 et500
21 54.100 et500
21 56.122 et500
21 55.377 et500
21 56.844 et500
21 56.354 et500
21 54.524 et500
21 53.800 et500
