nodes time label
3 1.005 kh
3 1.004 kh
3 1.005 kh
3 1.507 kh
3 1.004 kh
3 1.504 kh
3 1.003 kh
5 1.007 kh
5 1.506 kh
5 1.004 kh
5 1.506 kh
5 1.508 kh
5 1.507 kh
5 1.004 kh
7 1.559 kh
7 1.573 kh
7 1.519 kh
7 1.055 kh
7 1.510 kh
7 1.515 kh
7 1.508 kh
9 1.514 kh
9 1.521 kh
9 1.508 kh
9 1.510 kh
9 1.512 kh
9 1.513 kh
9 1.515 kh
11 1.519 kh
11 1.520 kh
11 2.022 kh
11 1.513 kh
11 1.515 kh
11 1.515 kh
11 1.514 kh
13 2.028 kh
13 2.022 kh
13 1.509 kh
13 2.016 kh
13 1.514 kh
13 1.522 kh
13 1.008 kh
15 1.529 kh
15 1.518 kh
15 2.558 kh
15 1.526 kh
15 2.120 kh
15 1.526 kh
15 1.521 kh
17 2.552 kh
17 1.564 kh
17 1.516 kh
17 1.549 kh
17 1.522 kh
17 1.530 kh
17 1.567 kh
19 3.046 kh
19 1.569 kh
19 2.034 kh
19 3.549 kh
19 2.034 kh
19 2.026 kh
19 1.524 kh
21 2.029 kh
21 2.069 kh
21 1.589 kh
21 1.565 kh
21 2.036 kh
21 1.642 kh
21 1.580 kh
