nodes time label
3 2.007 kl
3 1.506 kl
3 1.505 kl
3 2.005 kl
3 1.506 kl
3 1.504 kl
3 1.506 kl
5 1.509 kl
5 1.507 kl
5 1.509 kl
5 1.506 kl
5 2.014 kl
5 2.012 kl
5 1.511 kl
7 1.513 kl
7 2.027 kl
7 2.045 kl
7 1.516 kl
7 1.516 kl
7 1.006 kl
7 2.016 kl
9 1.527 kl
9 1.009 kl
9 1.515 kl
9 1.529 kl
9 1.522 kl
9 1.533 kl
9 1.513 kl
11 1.532 kl
11 1.525 kl
11 1.526 kl
11 1.518 kl
11 1.524 kl
11 1.520 kl
11 1.523 kl
13 1.524 kl
13 1.576 kl
13 1.523 kl
13 1.556 kl
13 1.524 kl
13 1.527 kl
13 1.528 kl
15 1.574 kl
15 1.620 kl
15 1.541 kl
15 1.571 kl
15 1.533 kl
15 1.538 kl
15 1.535 kl
17 1.542 kl
17 2.052 kl
17 1.552 kl
17 1.559 kl
17 1.538 kl
17 2.070 kl
17 1.572 kl
19 1.669 kl
19 1.775 kl
19 2.078 kl
19 2.074 kl
19 1.558 kl
19 2.072 kl
19 2.081 kl
21 2.128 kl
21 2.171 kl
21 2.137 kl
21 2.203 kl
21 2.235 kl
21 2.125 kl
21 2.170 kl
