node time label
3 1.004 kl
3 1.504 kl
3 1.003 kl
3 1.003 kl
3 1.506 kl
3 1.004 kl
3 1.004 kl
5 1.008 kl
5 1.005 kl
5 1.006 kl
5 1.006 kl
5 1.005 kl
5 1.516 kl
5 1.006 kl
7 1.012 kl
7 1.007 kl
7 1.013 kl
7 1.016 kl
7 1.015 kl
7 1.009 kl
7 1.011 kl
9 1.012 kl
9 1.008 kl
9 1.031 kl
9 1.025 kl
9 1.011 kl
9 1.016 kl
9 1.018 kl
11 1.021 kl
11 1.025 kl
11 1.023 kl
11 1.015 kl
11 1.032 kl
11 1.048 kl
11 1.031 kl
13 1.024 kl
13 1.027 kl
13 1.024 kl
13 1.026 kl
13 1.026 kl
13 1.083 kl
13 1.040 kl
15 1.026 kl
15 1.049 kl
15 1.036 kl
15 1.056 kl
15 1.023 kl
15 1.056 kl
15 1.030 kl
17 1.539 kl
17 1.566 kl
17 1.079 kl
17 1.574 kl
17 1.032 kl
17 1.070 kl
17 1.052 kl
19 1.688 kl
19 1.653 kl
19 1.592 kl
19 1.627 kl
19 1.665 kl
19 1.602 kl
19 1.585 kl
21 1.762 kl
21 1.714 kl
21 1.856 kl
21 2.090 kl
21 1.990 kl
21 1.627 kl
21 3.007 kl
