nodes time label
1 0.104 propagate
1 0.027 propagate
1 0.105 propagate
1 0.080 propagate
1 0.078 propagate
1 0.052 propagate
1 0.052 propagate
3 0.243 propagate
3 0.308 propagate
3 0.220 propagate
3 0.220 propagate
3 0.218 propagate
3 0.306 propagate
3 0.223 propagate
5 0.320 propagate
5 0.242 propagate
5 0.331 propagate
5 0.237 propagate
5 0.267 propagate
5 0.238 propagate
5 0.234 propagate
7 0.306 propagate
7 0.252 propagate
7 0.292 propagate
7 0.260 propagate
7 0.309 propagate
7 0.353 propagate
7 0.288 propagate
9 0.279 propagate
9 0.251 propagate
9 0.352 propagate
9 0.318 propagate
9 0.282 propagate
9 0.293 propagate
9 0.286 propagate
11 0.262 propagate
11 0.314 propagate
11 0.268 propagate
11 0.271 propagate
11 0.373 propagate
11 0.276 propagate
11 0.322 propagate
13 0.366 propagate
13 0.378 propagate
13 0.348 propagate
13 0.317 propagate
13 0.413 propagate
13 0.328 propagate
13 0.312 propagate
15 0.437 propagate
15 0.331 propagate
15 0.413 propagate
15 0.390 propagate
15 0.439 propagate
15 0.332 propagate
15 0.394 propagate
17 0.331 propagate
17 0.367 propagate
17 0.444 propagate
17 0.407 propagate
17 0.454 propagate
17 0.423 propagate
17 0.465 propagate
19 0.431 propagate
19 0.560 propagate
19 0.396 propagate
19 0.433 propagate
19 0.470 propagate
19 0.453 propagate
19 0.416 propagate
21 0.444 propagate
21 0.450 propagate
21 0.610 propagate
21 0.451 propagate
21 0.530 propagate
21 0.468 propagate
21 0.440 propagate
