nodes time label
3 0.62 kill_1_et500
3 0.723 kill_1_et500
3 0.617 kill_1_et500
3 0.723 kill_1_et500
3 0.618 kill_1_et500
3 0.722 kill_1_et500
3 0.82 kill_1_et500
5 0.725 kill_1_et500
5 0.722 kill_1_et500
5 0.73 kill_1_et500
5 0.83 kill_1_et500
5 0.93 kill_1_et500
5 0.622 kill_1_et500
5 0.831 kill_1_et500
7 0.733 kill_1_et500
7 0.631 kill_1_et500
7 0.634 kill_1_et500
7 0.739 kill_1_et500
7 0.629 kill_1_et500
7 0.637 kill_1_et500
7 0.634 kill_1_et500
9 0.637 kill_1_et500
9 0.524 kill_1_et500
9 0.531 kill_1_et500
9 0.627 kill_1_et500
9 0.638 kill_1_et500
9 0.632 kill_1_et500
9 0.632 kill_1_et500
11 0.639 kill_1_et500
11 0.532 kill_1_et500
11 0.744 kill_1_et500
11 0.848 kill_1_et500
11 0.642 kill_1_et500
11 0.635 kill_1_et500
11 0.645 kill_1_et500
13 0.538 kill_1_et500
13 0.646 kill_1_et500
13 0.645 kill_1_et500
13 0.538 kill_1_et500
13 0.642 kill_1_et500
13 0.748 kill_1_et500
13 0.642 kill_1_et500
15 0.645 kill_1_et500
15 0.652 kill_1_et500
15 0.651 kill_1_et500
15 0.666 kill_1_et500
15 0.656 kill_1_et500
15 0.657 kill_1_et500
15 0.649 kill_1_et500
17 0.656 kill_1_et500
17 0.654 kill_1_et500
17 0.65 kill_1_et500
17 0.541 kill_1_et500
17 0.558 kill_1_et500
17 0.646 kill_1_et500
17 0.556 kill_1_et500
19 0.662 kill_1_et500
19 0.66 kill_1_et500
19 0.679 kill_1_et500
19 0.557 kill_1_et500
19 0.675 kill_1_et500
19 0.668 kill_1_et500
19 0.679 kill_1_et500
21 0.67 kill_1_et500
21 0.669 kill_1_et500
21 0.71 kill_1_et500
21 0.67 kill_1_et500
21 0.558 kill_1_et500
21 0.777 kill_1_et500
21 0.554 kill_1_et500
23 0.669 kill_1_et500
23 0.67 kill_1_et500
23 0.677 kill_1_et500
23 0.786 kill_1_et500
23 0.68 kill_1_et500
23 0.68 kill_1_et500
23 0.668 kill_1_et500
25 0.695 kill_1_et500
25 0.687 kill_1_et500
25 0.69 kill_1_et500
25 0.686 kill_1_et500
25 0.688 kill_1_et500
25 0.566 kill_1_et500
25 0.685 kill_1_et500
27 0.695 kill_1_et500
27 0.698 kill_1_et500
27 0.707 kill_1_et500
27 0.577 kill_1_et500
27 0.687 kill_1_et500
27 0.823 kill_1_et500
27 0.576 kill_1_et500
29 0.591 kill_1_et500
29 0.736 kill_1_et500
29 0.726 kill_1_et500
29 0.596 kill_1_et500
29 0.696 kill_1_et500
29 0.633 kill_1_et500
29 0.752 kill_1_et500
31 0.778 kill_1_et500
31 0.779 kill_1_et500
31 0.765 kill_1_et500
31 0.727 kill_1_et500
31 0.707 kill_1_et500
31 0.72 kill_1_et500
31 0.718 kill_1_et500
33 0.883 kill_1_et500
33 0.755 kill_1_et500
33 0.838 kill_1_et500
33 0.664 kill_1_et500
33 0.635 kill_1_et500
33 0.76 kill_1_et500
33 0.921 kill_1_et500
35 0.884 kill_1_et500
35 0.81 kill_1_et500
35 0.633 kill_1_et500
35 0.771 kill_1_et500
35 0.732 kill_1_et500
35 0.754 kill_1_et500
35 0.799 kill_1_et500
