nodes time label
3 1.129 kill_half_et1000
3 1.848 kill_half_et1000
3 1.031 kill_half_et1000
3 1.852 kill_half_et1000
3 1.541 kill_half_et1000
3 1.539 kill_half_et1000
3 1.442 kill_half_et1000
5 1.235 kill_half_et1000
5 1.231 kill_half_et1000
5 2.057 kill_half_et1000
5 1.748 kill_half_et1000
5 1.236 kill_half_et1000
5 1.744 kill_half_et1000
5 1.851 kill_half_et1000
7 1.34 kill_half_et1000
7 1.439 kill_half_et1000
7 1.338 kill_half_et1000
7 1.234 kill_half_et1000
7 1.642 kill_half_et1000
7 1.647 kill_half_et1000
7 1.231 kill_half_et1000
9 1.239 kill_half_et1000
9 1.446 kill_half_et1000
9 1.752 kill_half_et1000
9 1.341 kill_half_et1000
9 1.241 kill_half_et1000
9 1.446 kill_half_et1000
9 1.342 kill_half_et1000
11 1.555 kill_half_et1000
11 1.254 kill_half_et1000
11 1.766 kill_half_et1000
11 1.346 kill_half_et1000
11 1.141 kill_half_et1000
11 1.247 kill_half_et1000
11 1.346 kill_half_et1000
13 1.461 kill_half_et1000
13 1.454 kill_half_et1000
13 1.583 kill_half_et1000
13 1.366 kill_half_et1000
13 1.559 kill_half_et1000
13 1.358 kill_half_et1000
13 1.352 kill_half_et1000
15 1.384 kill_half_et1000
15 1.507 kill_half_et1000
15 1.57 kill_half_et1000
15 1.463 kill_half_et1000
15 1.672 kill_half_et1000
15 1.671 kill_half_et1000
15 1.673 kill_half_et1000
17 1.48 kill_half_et1000
17 1.502 kill_half_et1000
17 1.372 kill_half_et1000
17 1.614 kill_half_et1000
17 1.604 kill_half_et1000
17 1.473 kill_half_et1000
17 1.493 kill_half_et1000
19 1.512 kill_half_et1000
19 1.826 kill_half_et1000
19 1.686 kill_half_et1000
19 1.568 kill_half_et1000
19 1.685 kill_half_et1000
19 1.685 kill_half_et1000
19 2.653 kill_half_et1000
21 1.632 kill_half_et1000
21 1.709 kill_half_et1000
21 1.599 kill_half_et1000
21 1.62 kill_half_et1000
21 1.583 kill_half_et1000
21 1.61 kill_half_et1000
21 1.709 kill_half_et1000
23 1.61 kill_half_et1000
23 1.759 kill_half_et1000
23 2.602 kill_half_et1000
23 1.636 kill_half_et1000
23 1.821 kill_half_et1000
23 1.628 kill_half_et1000
23 1.621 kill_half_et1000
25 1.658 kill_half_et1000
25 2.713 kill_half_et1000
25 1.683 kill_half_et1000
25 1.865 kill_half_et1000
25 1.665 kill_half_et1000
25 1.665 kill_half_et1000
25 1.551 kill_half_et1000
27 1.698 kill_half_et1000
27 1.693 kill_half_et1000
27 1.784 kill_half_et1000
27 1.904 kill_half_et1000
27 1.679 kill_half_et1000
27 1.783 kill_half_et1000
27 1.807 kill_half_et1000
29 1.833 kill_half_et1000
29 1.775 kill_half_et1000
29 2.034 kill_half_et1000
29 1.787 kill_half_et1000
29 2.981 kill_half_et1000
29 1.692 kill_half_et1000
29 1.796 kill_half_et1000
31 2.889 kill_half_et1000
31 1.816 kill_half_et1000
31 1.819 kill_half_et1000
31 1.897 kill_half_et1000
31 1.754 kill_half_et1000
31 2.028 kill_half_et1000
31 1.835 kill_half_et1000
33 1.932 kill_half_et1000
33 1.845 kill_half_et1000
33 1.868 kill_half_et1000
33 1.908 kill_half_et1000
33 1.873 kill_half_et1000
33 1.97 kill_half_et1000
33 1.92 kill_half_et1000
35 2.028 kill_half_et1000
35 1.999 kill_half_et1000
35 1.984 kill_half_et1000
35 1.996 kill_half_et1000
35 1.97 kill_half_et1000
35 1.897 kill_half_et1000
35 1.978 kill_half_et1000
