nodes time label
1 1.299 propagate_100_et1000
1 1.353 propagate_100_et1000
1 1.361 propagate_100_et1000
1 1.349 propagate_100_et1000
1 1.351 propagate_100_et1000
1 1.254 propagate_100_et1000
1 1.269 propagate_100_et1000
3 1.097 propagate_100_et1000
3 1.232 propagate_100_et1000
3 1.1 propagate_100_et1000
3 1.143 propagate_100_et1000
3 1.15 propagate_100_et1000
3 1.108 propagate_100_et1000
3 1.162 propagate_100_et1000
5 1.104 propagate_100_et1000
5 1.119 propagate_100_et1000
5 1.171 propagate_100_et1000
5 1.165 propagate_100_et1000
5 1.12 propagate_100_et1000
5 1.166 propagate_100_et1000
5 1.117 propagate_100_et1000
7 1.349 propagate_100_et1000
7 1.321 propagate_100_et1000
7 1.526 propagate_100_et1000
7 1.328 propagate_100_et1000
7 1.33 propagate_100_et1000
7 1.337 propagate_100_et1000
7 1.336 propagate_100_et1000
9 1.649 propagate_100_et1000
9 1.598 propagate_100_et1000
9 1.789 propagate_100_et1000
9 1.51 propagate_100_et1000
9 1.36 propagate_100_et1000
9 1.527 propagate_100_et1000
9 1.44 propagate_100_et1000
11 1.847 propagate_100_et1000
11 1.759 propagate_100_et1000
11 1.715 propagate_100_et1000
11 1.938 propagate_100_et1000
11 1.767 propagate_100_et1000
11 1.763 propagate_100_et1000
11 1.754 propagate_100_et1000
13 2.352 propagate_100_et1000
13 2.092 propagate_100_et1000
13 2.02 propagate_100_et1000
13 2.444 propagate_100_et1000
13 2.117 propagate_100_et1000
13 2.064 propagate_100_et1000
13 2.003 propagate_100_et1000
15 2.622 propagate_100_et1000
15 2.495 propagate_100_et1000
15 2.608 propagate_100_et1000
15 2.548 propagate_100_et1000
15 2.464 propagate_100_et1000
15 2.435 propagate_100_et1000
15 2.462 propagate_100_et1000
17 2.901 propagate_100_et1000
17 2.846 propagate_100_et1000
17 2.891 propagate_100_et1000
17 2.824 propagate_100_et1000
17 2.877 propagate_100_et1000
17 2.781 propagate_100_et1000
17 2.895 propagate_100_et1000
19 3.433 propagate_100_et1000
19 3.476 propagate_100_et1000
19 3.333 propagate_100_et1000
19 3.406 propagate_100_et1000
19 3.412 propagate_100_et1000
19 3.373 propagate_100_et1000
19 3.571 propagate_100_et1000
21 4.02 propagate_100_et1000
21 3.694 propagate_100_et1000
21 3.749 propagate_100_et1000
21 3.777 propagate_100_et1000
21 3.635 propagate_100_et1000
21 3.762 propagate_100_et1000
21 3.622 propagate_100_et1000
23 4.357 propagate_100_et1000
23 4.212 propagate_100_et1000
23 4.199 propagate_100_et1000
23 4.167 propagate_100_et1000
23 4.266 propagate_100_et1000
23 4.232 propagate_100_et1000
23 4.267 propagate_100_et1000
25 4.914 propagate_100_et1000
25 4.888 propagate_100_et1000
25 4.703 propagate_100_et1000
25 4.866 propagate_100_et1000
25 4.842 propagate_100_et1000
25 4.773 propagate_100_et1000
25 4.761 propagate_100_et1000
27 5.293 propagate_100_et1000
27 5.476 propagate_100_et1000
27 5.436 propagate_100_et1000
27 5.56 propagate_100_et1000
27 5.326 propagate_100_et1000
27 5.527 propagate_100_et1000
27 5.354 propagate_100_et1000
29 5.988 propagate_100_et1000
29 6.393 propagate_100_et1000
29 5.951 propagate_100_et1000
29 5.866 propagate_100_et1000
29 6.045 propagate_100_et1000
29 5.954 propagate_100_et1000
29 6.147 propagate_100_et1000
31 7.354 propagate_100_et1000
31 6.647 propagate_100_et1000
31 6.635 propagate_100_et1000
31 6.754 propagate_100_et1000
31 7.011 propagate_100_et1000
31 6.706 propagate_100_et1000
31 6.822 propagate_100_et1000
